Nombre,Apellidos,Identificación,Carnet Estudiante,Fecha Nacimiento,Email
Laura,Brenes,11062,2015000063,01/07/97,prueba@juncos.com
Jose,Rodriguez,11063,2015000064,01/01/97,prueba@juncos.com
Kevin,Murillo,11064,2015000065,01/02/97,prueba@juncos.com
Josue,Alfaro,11065,2015000066,01/03/97,prueba@juncos.com
Luis,Alízar,11066,2015000067,01/04/97,prueba@juncos.com
Maria,Zamora,11067,2015000068,01/05/97,prueba@juncos.com
Rosa,Estrada,11068,2015000069,01/06/97,prueba@juncos.com
Laura,Brenes,11069,2015000070,01/07/97,prueba@juncos.com
Jose,Rodriguez,11070,2015000071,01/01/97,prueba@juncos.com
Kevin,Murillo,11071,2015000072,01/02/97,prueba@juncos.com
Josue,Alfaro,11072,2015000073,01/03/97,prueba@juncos.com
Luis,Alízar,11073,2015000074,01/04/97,prueba@juncos.com
Maria,Zamora,11074,2015000075,01/05/97,prueba@juncos.com
Rosa,Estrada,11075,2015000076,01/06/97,prueba@juncos.com
Laura,Brenes,11076,2015000077,01/07/97,prueba@juncos.com
Jose,Rodriguez,11077,2015000078,01/01/97,prueba@juncos.com
Kevin,Murillo,11078,2015000079,01/02/97,prueba@juncos.com
Josue,Alfaro,11079,2015000080,01/03/97,prueba@juncos.com
Luis,Alízar,11080,2015000081,01/04/97,prueba@juncos.com
Maria,Zamora,11081,2015000082,01/05/97,prueba@juncos.com
Rosa,Estrada,11082,2015000083,01/06/97,prueba@juncos.com
Laura,Brenes,11083,2015000084,01/07/97,prueba@juncos.com
Jose,Rodriguez,11084,2015000085,01/01/97,prueba@juncos.com
Kevin,Murillo,11085,2015000086,01/02/97,prueba@juncos.com
Josue,Alfaro,11086,2015000087,01/03/97,prueba@juncos.com
Luis,Alízar,11087,2015000088,01/04/97,prueba@juncos.com
Maria,Zamora,11088,2015000089,01/05/97,prueba@juncos.com
Rosa,Estrada,11089,2015000090,01/06/97,prueba@juncos.com
Laura,Brenes,11090,2015000091,01/07/97,prueba@juncos.com
Jose,Rodriguez,11091,2015000092,01/01/97,prueba@juncos.com
Kevin,Murillo,11092,2015000093,01/02/97,prueba@juncos.com
Josue,Alfaro,11093,2015000094,01/03/97,prueba@juncos.com
Luis,Alízar,11094,2015000095,01/04/97,prueba@juncos.com
Maria,Zamora,11095,2015000096,01/05/97,prueba@juncos.com
Rosa,Estrada,11096,2015000097,01/06/97,prueba@juncos.com
Laura,Brenes,11097,2015000098,01/07/97,prueba@juncos.com
Jose,Rodriguez,11098,2015000099,01/01/97,prueba@juncos.com
